"itemNr","freq","category","position","notFitting"
"445",0.1,"Z16.czasowniki","gotować",0
"456",0.1,"Z16.czasowniki","krzyczeć.wołać",1
"473",0.1,"Z16.czasowniki","obudzić..się.",0
"479",0.1,"Z16.czasowniki","pić",0
"484",0.1,"Z16.czasowniki","pokazać",0
"530",0.1,"Z16.czasowniki","zapiąć",0
"532",0.1,"Z16.czasowniki","zdjąć.ściągnąć",0
"567",0.1,"Z18.określenia_czasu","znowu.znów",0
"71",0.1,"Z04.pokarmy","barszcz",0
"111",0.09,"Z04.pokarmy","mleko",0
"153",0.09,"Z05.zabawki","zabawka",0
"306",0.09,"Z10.na_dworze","słońce",0
"460",0.09,"Z16.czasowniki","leżeć",0
"485",0.09,"Z16.czasowniki","pomóc",0
"504",0.09,"Z16.czasowniki","spać",0
"612",0.09,"Z20.zaimki_osobowe","jej",0
"74",0.09,"Z04.pokarmy","bułka",0
"215",0.08,"Z08.w_domu","łazienka",0
"291",0.08,"Z10.na_dworze","gałąź",0
"406",0.08,"Z14.przymiotniki","zdrowy",0
"516",0.08,"Z16.czasowniki","uczyć.się",0
"527",0.08,"Z16.czasowniki","wytrzeć",0
"547",0.08,"Z17.określenia_miejsca","tam",0
"584",0.08,"Z19.określenia_miary","więcej",0
"611",0.08,"Z20.zaimki_osobowe","jego",0
"617",0.08,"Z21.zaimki_wskazujące","to",0
"637",0.08,"Z22.pytania","który.",0
"218",0.07,"Z08.w_domu","okno",0
"228",0.07,"Z08.w_domu","szafa",0
"534",0.07,"Z16.czasowniki","zgubić",0
"606",0.07,"Z20.zaimki_osobowe","oni.one..im..ich.je.",0
"212",0.06,"Z08.w_domu","krzesło",0
"221",0.06,"Z08.w_domu","półka.regał",0
"327",0.06,"Z11.miejsca_gdzie_można_pójść","sklep",0
"368",0.06,"Z13.formuły","nie",0
"466",0.06,"Z16.czasowniki","mówić.powiedzieć",0
"526",0.06,"Z16.czasowniki","wyrzucić",0
"77",0.06,"Z04.pokarmy","chleb",0
"117",0.05,"Z04.pokarmy","picie",0
"214",0.05,"Z08.w_domu","lodówka",0
"442",0.05,"Z16.czasowniki","drapać",0
"529",0.05,"Z16.czasowniki","zamknąć",0
"542",0.05,"Z16.czasowniki","nie.ma.",0
"246",0.04,"Z09.przedmioty_domowego_użytku","kubek",0
"278",0.04,"Z09.przedmioty_domowego_użytku","widelec",0
"338",0.04,"Z12.osoby","dzidzi.dzidziuś",0
"339",0.04,"Z12.osoby","dzieci",1
"358",0.04,"Z13.formuły","cześć",0
"366",0.04,"Z13.formuły","pa.pa.",0
"396",0.04,"Z14.przymiotniki","mądry",0
"491",0.04,"Z16.czasowniki","przyjść",0
"5",0.04,"Z01.odgłosy","miau",0
"7",0.04,"Z01.odgłosy","muu..krowa.",0
"143",0.03,"Z05.zabawki","książka",0
"2",0.03,"Z01.odgłosy","hau.hau",0
"229",0.03,"Z08.w_domu","szuflada",0
"355",0.03,"Z12.osoby","tata.tatuś",0
"171",0.02,"Z06.ubrania","skarpetki",0
"3",0.02,"Z01.odgłosy","ko.ko.ko",0
"349",0.02,"Z12.osoby","mama.mamusia",0
"373",0.02,"Z13.formuły","kupka",0
"489",0.02,"Z16.czasowniki","prasować",0
"6",0.02,"Z01.odgłosy","mee.bee",0
"10",0.01,"Z01.odgłosy","brrum.brrum",0
"230",0.01,"Z08.w_domu","ściana",0
"28",0.01,"Z02.zwierzęta","kurczątko",0
"336",0.01,"Z12.osoby","doktor.lekarz",0
"428",0.01,"Z16.czasowniki","budować",0
"472",0.01,"Z16.czasowniki","nieść.nosić",0
"550",0.01,"Z17.określenia_miejsca","daleko",0
"586",0.01,"Z19.określenia_miary","wszystko.wszyscy",0
"630",0.01,"Z22.pytania","czyj.",0
"69",0.01,"Z03.pojazdy","tramwaj",0
"92",0.01,"Z04.pokarmy","jedzenie.papu.am",0
"12",0,"Z01.odgłosy","tralala.lalala",0
"210",0,"Z08.w_domu","korytarz.przedpokój",0
"27",0,"Z02.zwierzęta","kura",0
"377",0,"Z14.przymiotniki","be",0
"385",0,"Z14.przymiotniki","czarny",0
"4",0,"Z01.odgłosy","kwa.kwa",0
"451",0,"Z16.czasowniki","jeść",0
"557",0,"Z17.określenia_miejsca","z.przodu.do.przodu",0
"9",0,"Z01.odgłosy","bam.bum.bęc",1
