"itemNr","freq","notFitting","position"
"172",0.21,0,"tramwaj"
"176",0.01,0,"banan"
"179",0.31,0,"barszcz"
"180",0.27,0,"batonik"
"183",0.52,0,"budyń"
"185",0.11,0,"bułka"
"187",0.02,0,"buraczki"
"188",0.42,0,"cebula"
"189",0.32,0,"chleb"
"190",0.25,0,"chrupki"
"191",0.23,0,"ciasto"
"192",0.09,0,"ciastko"
"196",0.25,0,"cukier"
"197",0.3,0,"cukierek"
"199",0.13,0,"czekolada"
"201",0.29,0,"dżem"
"202",0.29,0,"galaretka"
"203",0.23,0,"groszek"
"206",0.28,0,"grzyby"
"210",0.15,0,"guma.do.żucia"
"212",0.2,0,"herbata"
"213",0.23,0,"jabłko"
"214",0.16,0,"jajko"
"215",0.18,0,"jedzenie.papu.am"
"216",0.26,0,"jogurt"
"218",0.24,0,"kakao"
"219",0.19,0,"kanapka.kromka"
"220",0.26,0,"kapusta"
"221",0.15,0,"kaszka"
"222",0.09,0,"kawa"
"226",0.31,0,"kiełbasa"
"227",0.1,0,"kotlet"
"228",0.16,0,"kurczak"
"229",0.14,0,"lizak"
"230",0.14,0,"lody"
"231",0.1,0,"makaron.kluski"
"234",0.16,0,"mandarynka"
"236",0.19,0,"marchewka"
"239",0.02,0,"masło.margaryna"
"242",0.03,0,"mięso"
"243",0.13,0,"miód"
"244",0.05,0,"mleko"
"246",0.22,0,"naleśniki"
"249",0.12,0,"orzechy"
"250",0.24,0,"ogórek"
"254",0.1,0,"paluszki"
"255",0.11,0,"parówka.kiełbaska"
"259",0.09,0,"picie"
"260",0.02,0,"pierogi"
"262",0.15,0,"placek"
"263",0.21,0,"pomarańcza"
"266",0.19,0,"rodzynki"
"271",0.06,0,"rosół"
"272",0.18,0,"ryba"
"274",0.14,0,"ryż"
"276",0.05,0,"sok"
"278",0.14,0,"sos"
"287",0.26,0,"sól"
"290",0.24,0,"szynka"
"291",0.2,0,"truskawki"
"294",0.22,0,"witaminy"
"297",0.23,0,"woda"
"298",0.09,0,"ziemniaki.kartofle"
"300",0.2,0,"zupa"
"303",0.21,0,"bajka"
"306",0.2,0,"balonik"
"308",0.24,0,"grabki"
"311",0.26,0,"gumka"
"314",0.29,0,"klocki"
"323",0.19,0,"książka"
"327",0.21,0,"lalka"
"331",0.13,0,"łopatka"
"334",0.23,0,"obrazek"
"336",0.14,0,"ołówek"
"337",0.14,0,"piłka"
"338",0.11,0,"pisak.długopis"
"341",0.1,0,"smoczek"
"345",0.14,0,"wiaderko"
"349",0.04,0,"zabawka"
"350",0.24,0,"bluzka"
"351",0.24,0,"buty"
"355",0.05,0,"chustka"
"356",0.14,0,"czapka"
"358",0.13,0,"guzik"
"362",0.19,0,"kalosze.gumowce"
"363",0.13,0,"kapelusz"
"365",0.07,0,"kieszeń"
"366",0.06,0,"koszula"
"367",0.12,0,"kurtka"
"368",0.08,0,"majtki"
"372",0.17,0,"pantofle.kapcie"
"373",0.2,0,"pasek"
"374",0.02,0,"pieluszka.pampers"
"376",0.07,0,"piżama"
"377",0.02,0,"rajstopy.rajtuzy"
"381",0.03,0,"rękawiczki"
"382",0.19,0,"skarpetki"
"385",0.13,0,"spodnie"
"387",0.09,0,"sukienka"
"389",0.14,0,"sweter"
"396",0.17,0,"szalik"
"400",0.04,0,"śliniaczek"
"406",0.17,0,"ubranie"
"412",0.11,0,"broda"
"413",0.21,0,"brzuch"
"416",0.06,0,"buzia"
"424",0.26,0,"czoło"
"426",0.21,0,"gardło"
"428",0.13,0,"głowa"
"437",0.03,0,"język"
"438",0.11,0,"kolano"
"439",0.1,0,"krew"
"441",0.08,0,"łokieć"
"442",0.17,0,"noga"
"445",0.17,0,"nos"
"447",0.06,0,"oko"
"449",0.14,0,"palec"
"451",0.2,0,"paznokcie.pazurki"
"452",0.13,0,"pępek"
"457",1,0,"policzek"
"460",0.16,0,"pupa"
"464",0.21,0,"skóra"
"466",0.16,0,"szyja"
"467",0.04,0,"ucho"
"468",0.02,0,"włosy"
"469",0.23,0,"ząb"
"470",0.1,0,"balkon"
"471",0.07,0,"dach"
"472",0.15,0,"drzwi"
"473",0.17,0,"dywan"
"474",0.19,0,"firanka.zasłona"
"475",0.19,0,"fotel"
"476",0.1,0,"korytarz.przedpokój"
"479",0.21,0,"kran"
"481",0.1,0,"krzesło"
"482",0.15,0,"kuchnia"
"483",0.18,0,"lodówka"
"484",0.18,0,"łazienka"
"485",0.17,0,"łóżko"
"487",0.08,0,"okno"
"489",0.13,0,"podłoga"
"491",0.14,0,"pokój"
"492",0.12,0,"półka.regał"
"493",0.18,0,"pralka"
"495",0.09,0,"prysznic"
"496",0.21,0,"schody"
"502",0.21,0,"stół"
"503",0.21,0,"sufit"
"504",0.21,0,"szafa"
"505",0.2,0,"szuflada"
"508",0.25,0,"ściana"
"509",0.21,0,"telewizor"
"510",0.12,0,"ubikacja.ustęp"
"513",0.17,0,"wanna"
"514",0.18,0,"wózek"
"516",0.16,0,"butelka"
"517",0.18,0,"czajnik"
"520",0.04,0,"deska"
"521",0.39,0,"garnek"
"522",0.1,0,"gazeta"
"523",0.22,0,"grzebień"
"524",0.18,0,"igła"
"526",0.16,0,"klucz"
"527",0.16,0,"koc.kołdra"
"528",0.1,0,"koszyk"
"529",0.15,0,"kubek"
"530",0.18,0,"lampa"
"531",0.04,0,"lekarstwa.tabletki"
"532",0.17,0,"lustro"
"533",0.11,0,"łyżka"
"534",0.16,0,"miotła"
"535",0.24,0,"miska"
"536",0.26,0,"młotek"
"537",0.23,0,"mydło"
"538",0.21,0,"nici"
"540",0.18,0,"nożyczki"
"542",0.11,0,"nóż"
"546",0.16,0,"obraz"
"547",0.14,0,"okulary"
"548",0.1,0,"pieniądze"
"549",0.21,0,"poduszka"
"550",0.15,0,"pudełko"
"551",0.05,0,"radio"
"556",0.01,0,"ręcznik"
"557",0.14,0,"słoik"
"558",0.13,0,"syrop"
"559",0.11,0,"szczoteczka.do.zębów"
"561",0.22,0,"szklanka"
"567",0.2,0,"szmata.ścierka"
"568",0.27,0,"sznurek"
"569",0.2,0,"śmieci"
"570",0.24,0,"talerz"
"571",0.25,0,"telefon.komórka"
"574",0,0,"termometr"
"576",0.01,0,"torebka"
"579",0.1,0,"widelec"
"580",0.27,0,"zapałki"
"581",0.01,0,"zdjęcie.fotografia"
"583",0.05,0,"zegarek"
"584",0.16,0,"żelazko"
"586",0.13,0,"bałwan"
"591",0.19,0,"błoto"
"595",0.1,0,"burza"
"597",0.28,0,"chmura"
"598",0.2,0,"deszcz"
"599",0.24,0,"drabina"
"600",0.14,0,"droga"
"605",0.14,0,"drzewo"
"606",0.14,0,"gałąź"
"607",0.15,0,"gwiazda"
"611",0.15,0,"kamień"
"612",0.14,0,"kijek.patyk"
"614",0.19,0,"księżyc"
"615",0.19,0,"kwiatek"
"616",0.18,0,"listek"
"617",0.12,0,"most"
"621",0.15,0,"mróz"
"623",0.15,0,"niebo"
"625",0.24,0,"ogień"
"626",0.14,0,"piasek.piaskownica"
"627",0.01,0,"płot"
"630",0.21,0,"sanki"
"632",0.02,0,"słońce"
"637",0.19,0,"śnieg"
"641",0.23,0,"trawa"
"642",0.19,0,"ulica"
"643",0.19,0,"wiatr"
"644",0.22,0,"woda"
"645",0.18,0,"ziemia"
"646",0.2,0,"apteka"
"656",0.22,0,"góry"
"662",0.03,0,"imieniny.urodziny"
"663",0.17,0,"kościół"
"667",0.09,0,"miasto"
"668",0.08,0,"morze"
"669",0.16,0,"na.dwór.na.pole"
"670",0.24,0,"park.ogród"
